personId,countryXName,countryYName,startDate,durationDays
35184372092782,South_Korea,Jordan,2012-11-07T00:00:00+00:00,30
4398046511349,United_Kingdom,Switzerland,2011-05-29T00:00:00+00:00,26
13194139538742,Vietnam,Mauritius,2012-12-18T00:00:00+00:00,15
17592186054880,Liberia,Lithuania,2012-06-07T00:00:00+00:00,28
33,Ukraine,Japan,2011-09-06T00:00:00+00:00,30
24189255816556,Puerto_Rico,Austria,2012-04-09T00:00:00+00:00,11
28587302330873,Tanzania,Mauritius,2012-12-31T00:00:00+00:00,30
2199023258461,Pakistan,Venezuela,2011-04-18T00:00:00+00:00,13
35184372092254,Estonia,Colombia,2012-07-15T00:00:00+00:00,25
2199023258027,Jordan,Nicaragua,2012-04-03T00:00:00+00:00,6
13194139534446,Sri_Lanka,Mauritania,2012-12-30T00:00:00+00:00,14
35184372097490,Slovenia,Japan,2012-11-16T00:00:00+00:00,7
6597069774827,Poland,Scotland,2011-10-02T00:00:00+00:00,10
4828,Madagascar,Croatia,2012-09-06T00:00:00+00:00,29
10995116280306,Belgium,Cameroon,2012-10-05T00:00:00+00:00,24
2199023256642,United_States,Switzerland,2012-12-22T00:00:00+00:00,20
2199023265196,Ethiopia,Rwanda,2012-11-20T00:00:00+00:00,8
6597069769862,Namibia,Spain,2012-12-11T00:00:00+00:00,23
17592186051513,Philippines,Poland,2012-12-17T00:00:00+00:00,17
28587302332306,Mauritius,Kazakhstan,2012-11-18T00:00:00+00:00,18
6597069773923,Burma,Zambia,2012-09-29T00:00:00+00:00,24
2199023260507,Algeria,Mauritius,2012-06-15T00:00:00+00:00,19
32985348833319,Northern_Ireland,Madagascar,2012-04-24T00:00:00+00:00,13
17592186047170,Spain,Burma,2011-11-28T00:00:00+00:00,16
19791209306818,Republic_of_Macedonia,Zambia,2012-07-01T00:00:00+00:00,27
17592186045716,Finland,Belarus,2012-12-26T00:00:00+00:00,22
28587302329684,Kazakhstan,Czech_Republic,2012-11-13T00:00:00+00:00,5
6597069770287,Turkey,Japan,2012-11-28T00:00:00+00:00,16
21990232560382,Mongolia,Croatia,2012-02-07T00:00:00+00:00,10
6597069768218,Colombia,Denmark,2012-10-01T00:00:00+00:00,14
24189255817687,Malaysia,Azerbaijan,2012-12-07T00:00:00+00:00,24
28587302324365,Pakistan,Romania,2012-08-28T00:00:00+00:00,9
21990232563549,Kenya,Niger,2012-03-15T00:00:00+00:00,28
15393162795717,Mauritius,Cuba,2011-12-07T00:00:00+00:00,6
35184372094422,Croatia,Portugal,2012-11-28T00:00:00+00:00,27
35184372090358,Honduras,Liberia,2012-08-21T00:00:00+00:00,13
30786325586856,Russia,Portugal,2012-10-02T00:00:00+00:00,16
21990232562571,Cameroon,Wales,2012-12-10T00:00:00+00:00,6
2199023256539,Mauritania,Germany,2011-11-13T00:00:00+00:00,22
15393162790719,Japan,Canada,2012-03-27T00:00:00+00:00,13
26388279070680,United_Kingdom,Japan,2011-12-20T00:00:00+00:00,15
7437,United_States,Northern_Ireland,2012-04-03T00:00:00+00:00,11
15393162798318,El_Salvador,Colombia,2012-10-12T00:00:00+00:00,20
6597069770479,Afghanistan,Singapore,2012-11-21T00:00:00+00:00,16
30786325587654,Rwanda,Tajikistan,2012-12-19T00:00:00+00:00,24
30786325583613,United_States,Puerto_Rico,2012-09-23T00:00:00+00:00,28
2199023266159,Japan,Denmark,2012-11-22T00:00:00+00:00,26
19791209306595,Bosnia_and_Herzegovina,Taiwan,2012-12-13T00:00:00+00:00,17
37383395346839,Moldova,Democratic_Republic_of_the_Congo,2011-06-14T00:00:00+00:00,6
8796093023886,Zambia,Ukraine,2012-10-17T00:00:00+00:00,19
15393162788948,Liberia,Honduras,2011-12-30T00:00:00+00:00,13
24189255813699,Ethiopia,Rwanda,2012-12-09T00:00:00+00:00,19
10995116279356,Cameroon,Turkey,2012-01-08T00:00:00+00:00,13
17592186045182,Canada,Vietnam,2012-04-08T00:00:00+00:00,14
15393162796405,Laos,Rwanda,2012-12-21T00:00:00+00:00,17
8796093025294,Czech_Republic,Algeria,2012-01-14T00:00:00+00:00,22
21990232556814,Romania,Rwanda,2011-02-01T00:00:00+00:00,13
32985348841991,Liberia,Ukraine,2012-12-03T00:00:00+00:00,25
28587302328199,Rwanda,Austria,2012-12-17T00:00:00+00:00,16
15393162798025,Czech_Republic,Romania,2012-10-07T00:00:00+00:00,27
1198,Sri_Lanka,Republic_of_Macedonia,2012-08-07T00:00:00+00:00,15
6597069767763,Yemen,Namibia,2012-07-24T00:00:00+00:00,27
4398046516430,Egypt,Estonia,2012-06-22T00:00:00+00:00,8
15393162789817,Poland,Bulgaria,2012-06-18T00:00:00+00:00,25
30786325583063,Slovenia,Netherlands,2012-09-17T00:00:00+00:00,30
28587302325015,Burma,Netherlands,2012-08-03T00:00:00+00:00,17
6597069767000,Mauritania,Tunisia,2012-07-26T00:00:00+00:00,27
30786325587008,Peru,Denmark,2012-05-22T00:00:00+00:00,15
28587302330647,Burma,Peru,2012-12-15T00:00:00+00:00,30
6686,Nepal,Latvia,2012-12-24T00:00:00+00:00,18
4398046517760,Yemen,Mexico,2012-06-14T00:00:00+00:00,12
2199023261502,Ukraine,United_Kingdom,2012-07-18T00:00:00+00:00,17
30786325585328,Uruguay,Singapore,2012-11-08T00:00:00+00:00,24
32985348838678,Argentina,Hong_Kong,2012-11-30T00:00:00+00:00,13
35184372098267,Colombia,Dominican_Republic,2012-12-26T00:00:00+00:00,18
21990232560747,Oman,Brazil,2012-12-26T00:00:00+00:00,26
19791209302919,Puerto_Rico,Morocco,2012-10-17T00:00:00+00:00,6
13194139541560,Angola,Canada,2012-12-09T00:00:00+00:00,26
17592186052772,United_States,Israel,2012-07-29T00:00:00+00:00,17
4398046511484,Malta,Morocco,2012-12-18T00:00:00+00:00,7
24189255815235,Croatia,South_Korea,2011-11-24T00:00:00+00:00,27
10995116285480,Kazakhstan,El_Salvador,2012-12-23T00:00:00+00:00,30
9050,Iran,Italy,2012-06-22T00:00:00+00:00,28
26388279070241,Vietnam,France,2012-12-15T00:00:00+00:00,7
15393162796560,Tunisia,Papua_New_Guinea,2012-12-25T00:00:00+00:00,24
28587302322607,Cuba,Singapore,2012-06-19T00:00:00+00:00,28
24189255811299,Kazakhstan,Ethiopia,2012-12-22T00:00:00+00:00,6
28587302323353,Belgium,Papua_New_Guinea,2012-12-10T00:00:00+00:00,7
21990232556337,Azerbaijan,Portugal,2012-07-26T00:00:00+00:00,7
21990232563743,Brazil,Belgium,2012-03-28T00:00:00+00:00,12
15393162793718,Senegal,Malaysia,2012-09-10T00:00:00+00:00,26
7554,Dominican_Republic,Nepal,2012-02-17T00:00:00+00:00,12
7761,Swaziland,Italy,2012-12-04T00:00:00+00:00,12
1975,Romania,Colombia,2012-10-19T00:00:00+00:00,5
10995116281430,Laos,Ethiopia,2012-07-07T00:00:00+00:00,28
8796093026568,Russia,Switzerland,2011-09-28T00:00:00+00:00,30
10995116284315,Egypt,United_Kingdom,2012-08-29T00:00:00+00:00,21
30786325580176,England,Argentina,2012-12-18T00:00:00+00:00,9
4398046515804,Angola,Poland,2012-12-02T00:00:00+00:00,24
32985348833693,Moldova,Peru,2012-10-10T00:00:00+00:00,17
